iter	F1	Logloss
109	0.7353416903	0.4665239823
110	0.735395189	0.466139226
111	0.7360226469	0.465630765
112	0.7360970677	0.4650351494
113	0.7365336028	0.4646661431
114	0.7373206708	0.4642488479
115	0.7379581945	0.4636813421
116	0.7388933764	0.4632497089
117	0.7382130237	0.4628916757
118	0.7384366795	0.4623612682
119	0.7391041162	0.461761981
120	0.7393804863	0.461360542
121	0.7396790148	0.4609928527
122	0.739349889	0.4604991481
123	0.7395076675	0.4601058737
124	0.739889057	0.4596313302
125	0.7399858743	0.4593246225
126	0.7403225806	0.4589170085
127	0.7407258065	0.4585440047
128	0.740949884	0.4581603592
129	0.7414349053	0.4577789429
130	0.7414801371	0.4571382178
131	0.741733871	0.4565884626
132	0.7418152513	0.4560690994
133	0.7420914769	0.455618223
134	0.7417178532	0.4552723279
135	0.7428513894	0.4548100951
136	0.7432826809	0.4545108724
137	0.7436103844	0.454128384
138	0.7442655936	0.453792548
139	0.7447942863	0.4533499218
140	0.7452005227	0.4528973637
141	0.7453503569	0.4525539626
142	0.7459057571	0.4521208329
143	0.745854688	0.4518683783
144	0.7459807074	0.4514458379
145	0.7459057571	0.4512106699
146	0.7457559016	0.4508638216
147	0.7463106114	0.4504656897
148	0.7470387472	0.4501785219
149	0.7476166583	0.4496546764
150	0.7475416416	0.4492382545
151	0.7479935795	0.4490285487
152	0.7478924127	0.4487786283
153	0.7481436885	0.448543125
154	0.7484699508	0.4482221136
155	0.7485204133	0.4479449027
156	0.7488969114	0.4477166936
157	0.7488721805	0.4473336476
158	0.7497495492	0.4469401867
159	0.7503254882	0.4466137912
160	0.7503754881	0.4463078857
161	0.7505757485	0.4457918845
162	0.7503503504	0.4454925771
163	0.7507255079	0.4451527458
164	0.7511004402	0.4449300177
165	0.7508750875	0.44444416
166	0.7509249075	0.4441892862
167	0.7510751075	0.4438934461
168	0.75095019	0.4435814638
169	0.7505002001	0.4433022986
170	0.75104979	0.442909789
171	0.7508	0.4426446779
172	0.75104979	0.4422232003
173	0.7513248675	0.4419406714
174	0.7515745276	0.4416503863
175	0.7516496701	0.441339435
176	0.751824088	0.4411713377
177	0.7517985612	0.4408486449
178	0.7521230892	0.4405706476
179	0.752546435	0.44035932
180	0.7522972433	0.4400483941
181	0.7530962845	0.4397940965
182	0.7537216505	0.4395750315
183	0.753495805	0.4392838761
184	0.7534465534	0.4388647898
185	0.7538953256	0.4385098945
186	0.7542720096	0.4379861182
187	0.7543701928	0.4377627494
188	0.7547697533	0.437475365
189	0.7550489902	0.4370492535
190	0.7558929285	0.4368535458
191	0.7559416816	0.4364931367
192	0.756141402	0.436202414
193	0.7567675557	0.4356258401
194	0.7563679952	0.4354801432
195	0.7567675557	0.4351589794
196	0.7572641038	0.4348569509
197	0.7574638043	0.4344042863
198	0.7573125686	0.4340791858
199	0.7580838323	0.4338040438
200	0.7578569291	0.4333875124
201	0.7578358954	0.4330715396
202	0.7574366141	0.4329346933
203	0.7573125686	0.4326590005
204	0.757980846	0.4323831385
205	0.7583042394	0.4319937098
206	0.7584073446	0.4317060231
207	0.7586069255	0.4314822418
208	0.7588270497	0.4312899967
209	0.7585037406	0.4311267411
210	0.7591022444	0.4308899189
211	0.7590745911	0.4307413831
212	0.7592537165	0.4305824909
213	0.7591983249	0.4303806814
214	0.7594734743	0.4301555118
215	0.7597965899	0.4298851908
216	0.7601476015	0.4295005992
217	0.7599760575	0.4292658508
218	0.7601755786	0.4289593726
219	0.7600997506	0.4286871316
220	0.7604903817	0.4284604501
221	0.760071799	0.428108428
222	0.7607655502	0.4278609295
223	0.7604145904	0.4276138072
224	0.7611836206	0.4273913985
225	0.7606616182	0.4272157941
226	0.7611836206	0.4270890941
227	0.7614112019	0.4265271047
228	0.7617339312	0.4262136031
229	0.7622844613	0.4258876544
230	0.762531141	0.425520618
231	0.7621799342	0.4252777589
232	0.7624738572	0.4247286438
233	0.7629194464	0.424551573
234	0.7629482072	0.4243097208
235	0.7631474104	0.4239113058
236	0.7638391079	0.42361548
237	0.7636870396	0.4233417263
238	0.7635639622	0.423206555
239	0.7652675552	0.4229295711
240	0.764899015	0.4228268693
241	0.7650686294	0.4225135242
242	0.764899015	0.4220829105
243	0.7652208516	0.4219259122
244	0.7655426241	0.4217462982
245	0.7653731343	0.4214763817
246	0.7653436785	0.4213145064
247	0.7655131265	0.4211312704
248	0.7660336084	0.4210038369
249	0.7660039761	0.4207759711
250	0.7659743615	0.4206600029
251	0.7662492546	0.4203987669
252	0.766709703	0.4202399138
253	0.7671532122	0.4200311627
254	0.7671668489	0.419885992
255	0.7674418605	0.4198062992
256	0.7675482203	0.4196660469
257	0.7675482203	0.4195422237
258	0.7678695695	0.4193948823
259	0.7690014903	0.4190434021
260	0.7686500447	0.4186857866
261	0.7695669448	0.4183632654
262	0.7693682956	0.4181798072
263	0.7693989071	0.4180458757
264	0.7693224717	0.4178287642
265	0.7703468151	0.41729111
266	0.770239396	0.4170720938
267	0.7703615415	0.4167485364
268	0.7706057597	0.4165142113
269	0.7710484512	0.4163714934
270	0.7716129032	0.4160778711
271	0.7714455917	0.4159628283
272	0.7719333069	0.4156918023
273	0.771703542	0.4154273338
274	0.7717801151	0.4152955079
275	0.7718567034	0.4151595673
276	0.7722084367	0.414872943
277	0.7721770192	0.4146537177
278	0.7721770192	0.4146078316
279	0.7721317983	0.4143718847
280	0.7726505905	0.4141063991
281	0.7726505905	0.4140427678
282	0.7727272727	0.4138888678
283	0.7722084367	0.4137153304
284	0.7728625273	0.4135260134
285	0.7727092424	0.4132666657
286	0.7731642057	0.412906816
287	0.7739569914	0.4125705402
288	0.7739569914	0.4124982478
289	0.7741679873	0.4121112814
290	0.7744874715	0.4119439286
291	0.7744874715	0.4118127123
292	0.774794412	0.4115431139
293	0.7744427935	0.4113821927
294	0.7748068925	0.4111327172
295	0.7756759433	0.4108115254
296	0.7759389555	0.4105767769
297	0.7760158573	0.4102348511
298	0.7760158573	0.410072839
299	0.7765008916	0.4098342375
300	0.776820208	0.4095409578
301	0.7772605724	0.4092089641
302	0.7771394612	0.409041381
303	0.7772493064	0.4086797011
304	0.7772164438	0.4085329401
305	0.7777777778	0.4082481645
306	0.777502723	0.4081173188
307	0.7776126795	0.4078075498
308	0.778052887	0.4075777149
309	0.7779318542	0.407315343
310	0.7782509656	0.4071084365
311	0.7784158416	0.4069126898
312	0.7786576915	0.4067444296
313	0.7782948807	0.4065595914
314	0.7781407781	0.4063733365
315	0.7782178218	0.4061658028
316	0.7786138614	0.4058904699
317	0.7791307791	0.4055589146
318	0.7790536527	0.4053666079
319	0.7789661319	0.405226229
320	0.7792079208	0.4049362507
321	0.7794059406	0.4046642575
322	0.77949327	0.4045151649
323	0.7797919762	0.4042965038
324	0.7798355947	0.4038241713
325	0.779956427	0.4033641825
326	0.7797919762	0.4031884318
327	0.7803863299	0.4029941933
328	0.780990099	0.4027329816
329	0.7810334587	0.4025432737
330	0.7812314393	0.402265794
331	0.7813087813	0.402058778
332	0.7815500346	0.4018477685
333	0.781980198	0.4016571628
334	0.7820665083	0.4014418975
335	0.7819459566	0.4012839702
336	0.7821782178	0.4010167731
337	0.7822213423	0.4008287225
338	0.7823075401	0.4007746667
339	0.7822987823	0.4006739772
340	0.7822213423	0.400477584
341	0.7821439176	0.4003614565
342	0.7820665083	0.4001519375
343	0.7819459566	0.4000458998
344	0.7824280202	0.3998700751
345	0.7827463395	0.3997313025
346	0.7823849579	0.3995844664
347	0.7825828798	0.399407036
348	0.7830216682	0.3991373664
349	0.7837009198	0.3989630848
350	0.7841740851	0.3987279496
351	0.7839762611	0.3983604262
352	0.7839255667	0.3981219263
353	0.7838131988	0.3980265805
